Interval,CumulativePlayerPointsInterval,Player,GameId,Date,Team,Opponent,Home,TeamRest,OpponentTeamRest,CumulativeTeamPointsInterval,CumulativeOpponentPointsInterval,ScoreMarginInterval,ScoreMarginxTimeRemainingInterval,ScoreMarginxTimeRemaining2Interval,RollingAvgPlayerPoints,RollingAverageOpposingTeamAllowedPoints,RollingAverageTeamPoints
0,0.0,A. Davis - davisan02,593,2018-12-21,NOP,NOP,0,2.0,2.0,0,0,0,0.0,0.0,29.737509010082164,112.70840903990899,115.83335495325676
1,11.0,A. Davis - davisan02,593,2018-12-21,NOP,NOP,0,2.0,2.0,34,34,0,0.0,0.0,29.737509010082164,112.70840903990899,115.83335495325676
2,17.0,A. Davis - davisan02,593,2018-12-21,NOP,NOP,0,2.0,2.0,65,69,-4,96.0,2304.0,29.737509010082164,112.70840903990899,115.83335495325676
3,26.0,A. Davis - davisan02,593,2018-12-21,NOP,NOP,0,2.0,2.0,88,94,-6,72.0,864.0,29.737509010082164,112.70840903990899,115.83335495325676
4,30.0,A. Davis - davisan02,593,2018-12-21,NOP,NOP,0,2.0,2.0,104,112,-8,0.0,0.0,29.737509010082164,112.70840903990899,115.83335495325676
0,0.0,A. Davis - davisan02,594,2019-02-27,NOP,NOP,0,2.0,2.0,0,0,0,0.0,0.0,18.559204874059635,118.86474052727787,120.07814356169284
1,8.0,A. Davis - davisan02,594,2019-02-27,NOP,NOP,0,2.0,2.0,28,33,-5,180.0,6480.0,18.559204874059635,118.86474052727787,120.07814356169284
2,15.0,A. Davis - davisan02,594,2019-02-27,NOP,NOP,0,2.0,2.0,57,63,-6,144.0,3456.0,18.559204874059635,118.86474052727787,120.07814356169284
3,22.0,A. Davis - davisan02,594,2019-02-27,NOP,NOP,0,2.0,2.0,92,95,-3,36.0,432.0,18.559204874059635,118.86474052727787,120.07814356169284
4,22.0,A. Davis - davisan02,594,2019-02-27,NOP,NOP,0,2.0,2.0,119,125,-6,0.0,0.0,18.559204874059635,118.86474052727787,120.07814356169284
